name,role,lat,lon,last_seen,relay_active
UT1 - AustinMesh.org,repeater,30.288934,-97.73603,2026-07-04T15:24:45Z,True
Independent SW,repeater,30.26764,-97.75159,2026-07-04T15:24:29Z,True
UT2 - AustinMesh.org,repeater,30.28897,-97.73636,2026-07-04T15:16:58Z,True
LCC Base,repeater,30.58883,-97.829658,2026-07-04T15:37:18Z,True
SR Mr MiYagi,repeater,30.55755,-97.88856,2026-07-04T15:18:41Z,True
EA 1W Solar 📡,repeater,30.275348,-97.689372,2026-07-04T14:11:25Z,True
Mt. Bonnell  🗻,repeater,30.32077,-97.77335,2026-07-04T15:19:57Z,True
HPR Repeater,repeater,30.275889,-98.041204,2026-07-04T15:18:02Z,True
HMLI,repeater,30.34262,-97.68827,2026-07-04T15:40:24Z,True
Silent Running,repeater,30.557496,-97.892219,2026-07-04T15:37:01Z,True
LCC Observer,repeater,30.58906,-97.83298,2026-07-04T15:25:48Z,False
BCB,repeater,30.30848,-97.94543,2026-07-04T14:31:40Z,True
Valhalla 3000,repeater,30.274167,-97.689768,2026-07-04T14:06:37Z,True
🦎Geko EA Repeater,repeater,30.282305,-97.709013,2026-07-04T14:39:09Z,True
Aenemal,repeater,30.5855,-97.86964,2026-07-04T14:13:22Z,True
WSDM680 Repeater,repeater,30.132226,-98.345167,2026-07-04T14:21:07Z,True
XN SOLAR RPTR,repeater,30.018529,-98.117332,2026-07-04T11:05:21Z,True
Repeater-TestSetup,repeater,30.280756,-97.741242,2026-07-04T15:50:52Z,True
Bender DT 🏙️,repeater,30.26602,-97.74874,2026-07-04T14:46:32Z,True
ATX1 South,repeater,30.26955,-97.74391,2026-07-04T15:20:20Z,True
Parmer 1W ,repeater,30.37533,-97.654633,2026-07-04T13:31:41Z,True
BCW RAK 1W,repeater,30.295241,-97.886401,2026-07-04T14:10:14Z,True
itsme.sh_Hv4-AR👾,repeater,30.564002,-97.869733,2026-07-04T15:36:53Z,True
TechieTx-Relay 2,repeater,30.295587,-97.828129,2026-07-04T15:08:55Z,True
Mueller Repeater,repeater,30.29873,-97.69856,2026-07-04T10:53:03Z,True
Overwatch,repeater,30.276653,-98.06766,2026-07-04T15:18:15Z,True
itsme.sh_KT-SOL-OR👾,repeater,30.56409,-97.86919,2026-07-04T12:17:05Z,True
Fischer Repeater,repeater,29.9629,-98.22414,2026-07-04T14:29:19Z,True
WB5HLZ Solar/R,repeater,29.990927,-98.06392,2026-07-04T12:23:09Z,True
VolenteTX 1W Mansfield,repeater,30.434242,-97.914031,2026-07-04T12:43:06Z,True
⚡PING,repeater,30.233639,-97.723478,2026-07-04T12:56:51Z,True
Air Force 1 Watt Tower,repeater,30.516984,-97.82896,2026-07-04T12:07:27Z,True
